filepath,weather,date,cameraid,time,parkingspaceid,Ground Truth,Prediction
data/PATCHES/SUNNY/2016-01-16/camera5/S_2016-01-16_16.42_C05_302.jpg,SUNNY,2016-01-16,camera5,16.42,302,0,0
data/PATCHES/RAINY/2016-02-12/camera4/R_2016-02-12_16.41_C04_303.jpg,RAINY,2016-02-12,camera4,16.41,303,1,1
data/PATCHES/RAINY/2015-12-22/camera1/R_2015-12-22_11.18_C01_263.jpg,RAINY,2015-12-22,camera1,11.18,263,1,1
data/PATCHES/SUNNY/2015-12-17/camera5/S_2015-12-17_13.26_C05_303.jpg,SUNNY,2015-12-17,camera5,13.26,303,0,0
data/PATCHES/RAINY/2015-12-22/camera8/R_2015-12-22_15.57_C08_216.jpg,RAINY,2015-12-22,camera8,15.57,216,1,1
data/PATCHES/SUNNY/2016-01-16/camera4/S_2016-01-16_17.07_C04_264.jpg,SUNNY,2016-01-16,camera4,17.07,264,0,0
data/PATCHES/RAINY/2016-02-12/camera6/R_2016-02-12_11.24_C06_270.jpg,RAINY,2016-02-12,camera6,11.24,270,1,1
data/PATCHES/RAINY/2016-02-12/camera5/R_2016-02-12_11.30_C05_202.jpg,RAINY,2016-02-12,camera5,11.30,202,1,1
data/PATCHES/SUNNY/2016-01-16/camera4/S_2016-01-16_10.07_C04_193.jpg,SUNNY,2016-01-16,camera4,10.07,193,0,0
data/PATCHES/RAINY/2015-12-22/camera8/R_2015-12-22_08.51_C08_288.jpg,RAINY,2015-12-22,camera8,08.51,288,0,0
data/PATCHES/RAINY/2015-12-22/camera7/R_2015-12-22_13.54_C07_242.jpg,RAINY,2015-12-22,camera7,13.54,242,0,0
data/PATCHES/RAINY/2015-12-22/camera5/R_2015-12-22_11.53_C05_236.jpg,RAINY,2015-12-22,camera5,11.53,236,0,0
data/PATCHES/RAINY/2016-02-12/camera8/R_2016-02-12_13.07_C08_328.jpg,RAINY,2016-02-12,camera8,13.07,328,1,1
data/PATCHES/RAINY/2016-02-12/camera9/R_2016-02-12_16.42_C09_217.jpg,RAINY,2016-02-12,camera9,16.42,217,0,0
data/PATCHES/SUNNY/2016-01-16/camera8/S_2016-01-16_17.23_C08_244.jpg,SUNNY,2016-01-16,camera8,17.23,244,0,0
data/PATCHES/SUNNY/2015-12-17/camera5/S_2015-12-17_08.26_C05_307.jpg,SUNNY,2015-12-17,camera5,08.26,307,0,0
data/PATCHES/OVERCAST/2015-12-03/camera3/O_2015-12-03_10.46_C03_298.jpg,OVERCAST,2015-12-03,camera3,10.46,298,1,1
data/PATCHES/SUNNY/2015-12-17/camera7/S_2015-12-17_12.54_C07_206.jpg,SUNNY,2015-12-17,camera7,12.54,206,1,1
data/PATCHES/RAINY/2016-02-12/camera6/R_2016-02-12_08.54_C06_272.jpg,RAINY,2016-02-12,camera6,08.54,272,0,0
data/PATCHES/SUNNY/2016-01-16/camera7/S_2016-01-16_07.43_C07_285.jpg,SUNNY,2016-01-16,camera7,07.43,285,0,0
data/PATCHES/SUNNY/2015-12-17/camera6/S_2015-12-17_16.51_C06_239.jpg,SUNNY,2015-12-17,camera6,16.51,239,1,1
data/PATCHES/SUNNY/2015-12-17/camera6/S_2015-12-17_15.51_C06_275.jpg,SUNNY,2015-12-17,camera6,15.51,275,1,1
data/PATCHES/SUNNY/2015-12-17/camera9/S_2015-12-17_10.54_C09_330.jpg,SUNNY,2015-12-17,camera9,10.54,330,1,1
