PLID,PSID,Longitude,Latitude
1,1,-1.83966,52.4387
1,2,-1.83967,52.43869
1,3,-1.83968,52.43868
1,4,-1.83969,52.43867
1,5,-1.8397,52.43866
1,6,-1.83971,52.43865
1,7,-1.83972,52.43864
1,8,-1.83973,52.43863
1,9,-1.83974,52.43862
1,10,-1.83975,52.43861
1,11,-1.83976,52.4386
1,12,-1.83977,52.43859
1,13,-1.83978,52.43858
1,14,-1.83979,52.43857
1,15,-1.8398,52.43856
1,16,-1.83981,52.43855
1,17,-1.83982,52.43854
1,18,-1.83983,52.43853
1,19,-1.83984,52.43852
1,20,-1.83985,52.43851
1,21,-1.83986,52.4385
1,22,-1.83987,52.43849
1,23,-1.83988,52.43848
1,24,-1.83989,52.43847
1,25,-1.8399,52.43846
1,26,-1.83991,52.43845
1,27,-1.83992,52.43844
1,28,-1.83993,52.43843
1,29,-1.83994,52.43842
1,30,-1.83995,52.43841
1,31,-1.83996,52.4384
1,32,-1.83997,52.43839
1,33,-1.83998,52.43838
1,34,-1.83999,52.43837
1,35,-1.84,52.43836
1,36,-1.84001,52.43835
1,37,-1.84002,52.43834
1,38,-1.84003,52.43833
1,39,-1.84004,52.43832
1,40,-1.84005,52.43831
1,41,-1.84006,52.4383
1,42,-1.84007,52.43829
1,43,-1.84008,52.43828
1,44,-1.84009,52.43827
1,45,-1.8401,52.43826
1,46,-1.84011,52.43825
1,47,-1.84012,52.43824
1,48,-1.84013,52.43823
1,49,-1.84014,52.43822
1,50,-1.84015,52.43821
1,51,-1.84016,52.4382
1,52,-1.84017,52.43819
1,53,-1.84018,52.43818
1,54,-1.84019,52.43817
1,55,-1.8402,52.43816
1,56,-1.84021,52.43815
1,57,-1.84022,52.43814
1,58,-1.84023,52.43813
1,59,-1.84024,52.43812
1,60,-1.84025,52.43811
1,61,-1.84026,52.4381
1,62,-1.84027,52.43809
1,63,-1.84028,52.43808
1,64,-1.84029,52.43807
1,65,-1.8403,52.43806
1,66,-1.84031,52.43805
1,67,-1.84032,52.43804
1,68,-1.84033,52.43803
1,69,-1.84034,52.43802
1,70,-1.84035,52.43801
1,71,-1.84036,52.438
1,72,-1.84037,52.43799
1,73,-1.84038,52.43798
1,74,-1.84039,52.43797
